user_id,timestamp,login_time,action_duration,device_type
1016,2024-10-20 18:23:26.400693,16:02:26,44,laptop
1064,2024-10-16 17:56:26.400707,11:58:26,47,tablet
1075,2024-10-21 05:16:26.400712,15:14:26,16,desktop
1042,2024-10-20 11:23:26.400714,17:12:26,29,laptop
1012,2024-10-19 12:13:26.400716,09:14:26,40,tablet
1056,2024-10-17 13:18:26.400718,12:07:26,19,desktop
1012,2024-10-15 17:38:26.400720,16:23:26,49,laptop
1067,2024-10-17 21:57:26.400723,11:54:26,48,tablet
1058,2024-10-21 01:10:26.400726,10:54:26,51,tablet
1001,2024-10-17 14:05:26.400728,17:31:26,29,desktop
1092,2024-10-21 22:01:26.400729,08:30:26,15,mobile
1018,2024-10-19 01:37:26.400731,12:43:26,35,mobile
1052,2024-10-15 23:18:26.400733,08:17:26,16,desktop
1083,2024-10-20 16:05:26.400735,14:40:26,20,desktop
1019,2024-10-16 21:38:26.400736,10:35:26,52,laptop
1009,2024-10-17 21:11:26.400738,16:27:26,51,mobile
1060,2024-10-19 02:14:26.400739,09:26:26,31,laptop
1100,2024-10-15 10:12:26.400742,16:01:26,58,tablet
1033,2024-10-17 17:47:26.400743,13:13:26,54,desktop
1043,2024-10-17 20:23:26.400745,13:58:26,13,laptop
1079,2024-10-20 20:14:26.400747,10:55:26,24,desktop
1088,2024-10-19 09:59:26.400749,09:00:26,44,laptop
1050,2024-10-16 17:05:26.400750,08:10:26,37,tablet
1083,2024-10-21 18:59:26.400752,09:48:26,29,tablet
1010,2024-10-15 16:31:26.400754,07:50:26,30,mobile
1042,2024-10-18 08:15:26.400756,13:48:26,50,mobile
1086,2024-10-15 03:14:26.400757,15:32:26,19,tablet
1068,2024-10-19 13:23:26.400759,12:51:26,50,laptop
1048,2024-10-21 08:34:26.400761,12:27:26,25,desktop
1040,2024-10-16 19:03:26.400763,17:38:26,33,tablet
1080,2024-10-18 15:18:26.400764,15:13:26,34,tablet
1091,2024-10-17 10:20:26.400766,11:45:26,27,laptop
1097,2024-10-20 17:58:26.400768,15:02:26,11,tablet
1062,2024-10-20 11:39:26.400770,17:44:26,53,tablet
1069,2024-10-21 13:27:26.400771,09:36:26,13,laptop
1004,2024-10-21 15:40:26.400773,11:23:26,52,tablet
1079,2024-10-18 14:43:26.400775,10:28:26,39,mobile
1008,2024-10-16 11:18:26.400776,15:26:26,9,mobile
1030,2024-10-20 18:07:26.400778,13:03:26,56,mobile
1080,2024-10-20 23:17:26.400780,12:00:26,17,mobile
1087,2024-10-19 09:43:26.400781,08:11:26,4,tablet
1036,2024-10-15 23:02:26.400783,15:53:26,42,desktop
1029,2024-10-20 12:47:26.400785,17:40:26,31,mobile
1095,2024-10-17 15:42:26.400787,15:01:26,56,mobile
1011,2024-10-16 21:57:26.400788,08:46:26,24,tablet
1055,2024-10-17 20:31:26.400790,16:32:26,36,tablet
1012,2024-10-15 22:19:26.400792,10:07:26,60,laptop
1097,2024-10-17 07:23:26.400794,11:18:26,7,mobile
1081,2024-10-15 09:27:26.400795,08:21:26,46,laptop
1090,2024-10-20 07:38:26.400797,11:32:26,55,mobile
1012,2024-10-17 08:32:26.400799,14:01:26,34,desktop
1056,2024-10-20 22:47:26.400800,09:42:26,55,tablet
1021,2024-10-16 12:12:26.400802,12:22:26,8,tablet
1088,2024-10-17 10:23:26.400804,16:31:26,19,laptop
1038,2024-10-18 21:26:26.400806,08:18:26,6,laptop
1003,2024-10-21 16:53:26.400808,09:07:26,49,tablet
1005,2024-10-17 20:39:26.400809,13:47:26,11,tablet
1041,2024-10-19 14:30:26.400811,14:24:26,18,tablet
1007,2024-10-17 00:45:26.400812,08:46:26,29,mobile
1037,2024-10-17 00:24:26.400814,17:36:26,58,mobile
1045,2024-10-19 09:21:26.400816,13:36:26,33,desktop
1047,2024-10-17 22:47:26.400817,15:01:26,10,mobile
1055,2024-10-20 22:42:26.400819,13:31:26,54,tablet
1018,2024-10-17 21:31:26.400821,12:42:26,28,mobile
1031,2024-10-15 21:09:26.400822,17:18:26,6,laptop
1067,2024-10-17 23:53:26.400824,11:38:26,59,tablet
1052,2024-10-21 09:17:26.400826,15:25:26,15,mobile
1072,2024-10-17 13:06:26.400828,09:04:26,53,tablet
1087,2024-10-18 22:29:26.400830,14:17:26,29,laptop
1023,2024-10-19 22:00:26.400831,08:56:26,57,laptop
1021,2024-10-20 16:28:26.400833,12:45:26,23,mobile
1022,2024-10-16 21:39:26.400835,10:54:26,60,tablet
1010,2024-10-21 00:48:26.400837,17:22:26,2,desktop
1078,2024-10-19 15:54:26.400838,17:20:26,27,laptop
1048,2024-10-15 06:46:26.400840,15:54:26,4,desktop
